Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
5233;1238;3;85;29;2;27;.931;3600000;0
5196;354;11;0;0;0;0;.00nan;0;0
5196;674;11;86;30;2;28;.933;3600000;0
5196;731;4;52;31;5;26;.839;2399050;0
5196;995;4;72;12;0;12;1.000;1200950;0
5198;106;17;0;0;0;0;.00nan;0;0
5198;188;27;88;31;2;29;.935;3613350;0
5198;206;27;0;0;0;0;.00nan;0;0
5198;695;17;90;27;1;26;.963;3613350;0
5321;963;26;0;0;0;0;.00nan;0;0
5321;978;7;0;0;0;0;.00nan;0;0
5321;1129;26;50;24;4;20;.833;3600000;0
5321;1230;7;91;27;1;26;.963;3600000;0
5253;383;19;97;36;1;35;.972;3600000;0
5253;801;9;0;0;0;0;.00nan;0;0
5253;911;19;0;0;0;0;.00nan;0;0
5253;999;9;46;23;4;19;.826;3600000;0
5214;6;31;63;31;4;27;.871;3574400;0
5214;127;16;0;0;0;0;.00nan;0;0
5214;668;31;0;0;0;0;.00nan;0;0
5214;983;16;72;22;2;20;.909;3600000;0
6072;396;12;0;0;0;0;.00nan;0;0
6072;774;20;0;0;0;0;.00nan;0;0
6072;808;12;80;37;4;33;.892;3580250;0
6072;869;20;66;15;1;14;.933;3600000;0
5236;127;16;52;20;3;17;.850;3753150;0
5236;745;15;94;47;4;43;.915;3753150;0
5236;890;15;0;0;0;0;.00nan;0;0
5236;983;16;0;0;0;0;.00nan;0;0
5381;396;12;48;36;6;30;.833;3600000;0
5381;808;12;0;0;0;0;.00nan;0;0
5381;951;8;0;0;0;0;.00nan;0;0
5381;1665;8;100;29;0;29;1.000;3600000;0
5250;774;20;25;32;8;24;.750;3600000;0
5250;869;20;0;0;0;0;.00nan;0;0
5250;967;25;81;29;2;27;.931;3600000;0
5250;1234;25;0;0;0;0;.00nan;0;0
5218;274;18;59;29;4;25;.862;3568400;0
5218;385;10;81;35;3;32;.914;3600000;0
5218;748;18;0;0;0;0;.00nan;0;0
5218;1001;10;0;0;0;0;.00nan;0;0
5215;72;0;64;39;6;33;.846;3746800;0
5215;734;22;62;35;5;30;.857;3725100;0
5215;1223;22;0;0;0;0;.00nan;0;0
5215;2135;0;0;0;0;0;.00nan;0;0
5834;801;9;68;22;2;20;.909;3600000;0
5834;978;7;85;36;3;33;.917;3593900;0
5834;999;9;0;0;0;0;.00nan;0;0
5834;1230;7;0;0;0;0;.00nan;0;0
5234;383;19;0;0;0;0;.00nan;0;0
5234;408;29;73;25;2;23;.920;3600000;0
5234;911;19;98;49;3;46;.939;3577500;0
5234;1231;29;0;0;0;0;.00nan;0;0
5303;108;1;0;0;0;0;.00nan;0;0
5303;354;11;100;40;1;39;.975;3600000;0
5303;674;11;0;0;0;0;.00nan;0;0
5303;1388;1;73;31;3;28;.903;3543300;0
5210;106;17;61;19;2;17;.895;2447950;0
5210;388;6;0;0;0;0;.00nan;0;0
5210;695;17;17;7;4;3;.429;1063050;0
5210;732;6;77;38;4;34;.895;3600000;0
6152;72;0;52;32;5;27;.844;3550100;0
6152;220;21;0;0;0;0;.00nan;0;0
6152;1207;21;70;34;4;30;.882;3600000;0
6152;2135;0;0;0;0;0;.00nan;0;0
6144;745;15;0;0;0;0;.00nan;0;0
6144;890;15;71;37;4;33;.892;3568600;0
6144;951;8;97;42;3;39;.929;3600000;0
6144;1665;8;0;0;0;0;.00nan;0;0
5203;188;27;73;31;3;28;.903;3600000;0
5203;206;27;0;0;0;0;.00nan;0;0
5203;731;4;77;40;4;36;.900;3600000;0
5203;995;4;0;0;0;0;.00nan;0;0
5194;220;21;0;0;0;0;.00nan;0;0
5194;734;22;0;0;0;0;.00nan;0;0
5194;1207;21;93;30;1;29;.967;3600000;0
5194;1223;22;75;39;4;35;.897;3600000;0
6116;780;3;0;0;0;0;.00nan;0;0
6116;978;7;0;0;0;0;.00nan;0;0
6116;1230;7;69;37;5;32;.865;3630600;0
6116;1238;3;59;28;4;24;.857;3630600;0
5275;388;6;81;22;1;21;.955;3600000;0
5275;408;29;41;31;6;25;.806;3600000;0
5275;732;6;0;0;0;0;.00nan;0;0
5275;1231;29;0;0;0;0;.00nan;0;0
5256;383;19;28;6;3;3;.500;449500;0
5256;911;19;46;29;5;24;.828;3066650;0
5256;963;26;43;29;6;23;.793;3600000;0
5256;1129;26;0;0;0;0;.00nan;0;0
5254;274;18;0;0;0;0;.00nan;0;0
5254;385;10;97;28;0;28;1.000;3900000;0
5254;748;18;100;39;0;39;1.000;3900000;0
5254;1001;10;0;0;0;0;.00nan;0;0
5239;72;0;81;39;3;36;.923;3900000;0
5239;354;11;0;0;0;0;.00nan;0;0
5239;674;11;95;44;3;41;.932;3900000;0
5239;2135;0;0;0;0;0;.00nan;0;0
5213;731;4;0;0;0;0;.00nan;0;0
5213;801;9;0;0;0;0;.00nan;0;0
5213;995;4;79;32;3;29;.906;3546650;0
5213;999;9;100;37;2;35;.946;3600000;0
5220;188;27;100;42;2;40;.952;3600000;0
5220;206;27;0;0;0;0;.00nan;0;0
5220;396;12;0;0;0;0;.00nan;0;0
5220;808;12;74;42;5;37;.881;3600000;0
5231;734;22;93;31;1;30;.968;3787000;0
5231;745;15;0;0;0;0;.00nan;0;0
5231;890;15;94;51;2;49;.961;3787000;0
5231;1223;22;0;0;0;0;.00nan;0;0
5221;385;10;61;30;4;26;.867;3600000;0
5221;801;9;97;32;1;31;.969;3600000;0
5221;999;9;0;0;0;0;.00nan;0;0
5221;1001;10;0;0;0;0;.00nan;0;0
5204;127;16;70;23;2;21;.913;3563600;0
5204;188;27;100;48;1;47;.979;3600000;0
5204;206;27;0;0;0;0;.00nan;0;0
5204;983;16;0;0;0;0;.00nan;0;0
5232;220;21;0;0;0;0;.00nan;0;0
5232;780;3;0;0;0;0;.00nan;0;0
5232;1207;21;93;31;1;30;.968;3600000;0
5232;1238;3;93;37;2;35;.946;3600000;0
5263;354;11;56;38;6;32;.842;3346000;0
5263;674;11;43;3;1;2;.667;254000;0
5263;774;20;0;0;0;0;.00nan;0;0
5263;869;20;96;30;1;29;.967;3600000;0
5296;383;19;72;33;4;29;.879;3600000;0
5296;911;19;0;0;0;0;.00nan;0;0
5296;967;25;54;32;5;27;.844;3557500;0
5296;1234;25;0;0;0;0;.00nan;0;0
5365;274;18;0;0;0;0;.00nan;0;0
5365;748;18;63;19;2;17;.895;3600000;0
5365;951;8;0;0;0;0;.00nan;0;0
5365;1665;8;61;35;5;30;.857;3600000;0
5344;72;0;62;8;0;8;1.000;1372000;0
5344;963;26;0;0;0;0;.00nan;0;0
5344;1129;26;95;43;3;40;.930;3600000;0
5344;2135;0;36;22;5;17;.773;2175350;0
5358;106;17;0;0;0;0;.00nan;0;0
5358;695;17;54;26;4;22;.846;3600000;0
5358;745;15;50;29;5;24;.828;3581700;0
5358;890;15;0;0;0;0;.00nan;0;0
5205;108;1;48;6;1;5;.833;999800;0
5205;731;4;100;39;1;38;.974;3600000;0
5205;995;4;0;0;0;0;.00nan;0;0
5205;1388;1;23;21;6;15;.714;2600200;0
6126;220;21;71;13;0;13;1.000;1266800;0
6126;978;7;0;0;0;0;.00nan;0;0
6126;1207;21;43;24;5;19;.792;2327450;0
6126;1230;7;90;45;4;41;.911;3600000;0
5238;396;12;0;0;0;0;.00nan;0;0
5238;408;29;83;30;2;28;.933;3632100;0
5238;808;12;79;40;3;37;.925;3644500;0
5238;1231;29;0;0;0;0;.00nan;0;0
5216;6;31;82;51;6;45;.882;3600000;0
5216;668;31;0;0;0;0;.00nan;0;0
5216;731;4;39;24;5;19;.792;3600000;0
5216;995;4;0;0;0;0;.00nan;0;0
5270;354;11;0;0;0;0;.00nan;0;0
5270;408;29;68;32;4;28;.875;3900000;0
5270;674;11;81;39;4;35;.897;3900000;0
5270;1231;29;0;0;0;0;.00nan;0;0
5380;274;18;22;29;8;21;.724;3600000;0
5380;745;15;53;20;3;17;.850;1700000;0
5380;748;18;0;0;0;0;.00nan;0;0
5380;890;15;34;28;6;22;.786;1900000;0
5242;127;16;0;0;0;0;.00nan;0;0
5242;734;22;69;38;5;33;.868;3829300;0
5242;983;16;49;21;4;17;.810;3829300;0
5242;1223;22;0;0;0;0;.00nan;0;0
5266;774;20;0;0;0;0;.00nan;0;0
