PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
3173;2024;85;3;8;8;29069;5;3;0;0;0;25;238;64
3187;2024;84;3;12;10;34355;2;7;1;0;0;43;334;54
3193;2024;91;2;11;10;36902;4;6;0;0;0;35;284;57
3215;2024;91;2;9;8;28517;3;4;1;0;1;22;216;60
3215;2024;101;2;3;3;10800;3;0;0;0;0;8;87;74
3217;2024;90;2;12;12;42653;7;5;0;0;0;47;338;53
3228;2024;92;2;9;9;29909;4;5;0;0;0;31;271;62
3229;2024;101;2;13;12;41454;7;5;0;1;0;49;298;45
3246;2024;96;2;7;6;22241;5;2;0;0;0;18;176;64
3266;2024;86;2;18;17;61979;10;5;1;0;0;65;560;63
3270;2024;93;2;9;9;32135;4;4;1;1;0;27;259;64
3272;2024;104;2;13;13;47299;9;3;1;0;1;41;391;66
3273;2024;95;2;11;10;36303;4;6;0;1;0;42;307;56
3299;2024;87;2;9;6;20573;3;4;1;0;0;28;206;50
3312;2024;86;2;5;3;10555;1;3;0;1;0;17;111;52
3314;2024;101;2;7;6;23261;3;3;0;0;0;30;192;50
3316;2024;95;2;10;10;35747;0;8;2;1;1;43;326;53
3323;2024;97;2;9;7;27363;4;3;0;3;0;22;259;70
3348;2024;84;3;12;10;38386;5;3;2;0;0;37;328;64
3360;2024;100;2;16;12;48176;5;7;0;1;0;42;452;67
3392;2024;79;3;4;4;14385;2;1;1;0;0;12;121;65
3394;2024;93;2;11;10;37125;7;1;2;0;0;32;295;64
3410;2024;99;2;17;15;53038;7;6;1;0;1;50;471;63
3417;2024;89;2;17;16;59617;8;8;0;1;1;56;490;63
3429;2024;92;2;12;11;42075;6;4;1;2;0;42;381;63
3435;2024;102;2;9;8;31091;4;5;0;0;0;33;313;68
3440;2024;103;2;11;7;29344;3;5;0;0;0;35;263;55
3472;2024;98;2;8;7;27566;2;5;0;1;0;28;251;63
3512;2024;116;4;10;9;35137;4;5;0;2;0;35;306;61
3513;2024;108;4;16;15;54842;6;10;0;0;0;64;506;57
3514;2024;123;4;12;10;40219;5;3;2;0;0;36;348;64
3530;2024;107;4;15;13;50001;4;6;2;0;1;45;459;66
3537;2024;122;4;15;12;50153;9;3;0;1;0;46;492;73
3546;2024;121;4;13;10;36901;2;8;0;1;0;50;341;51
3548;2024;110;4;12;12;43177;3;8;1;0;1;44;437;68
3558;2024;119;4;16;16;54677;9;6;0;0;2;49;492;68
3580;2024;112;4;15;14;52652;3;7;4;1;0;58;425;54
3589;2024;111;4;15;15;49538;9;5;0;1;1;49;466;66
3596;2024;108;4;3;3;10800;2;1;0;0;0;9;78;60
3602;2024;113;4;8;7;26320;3;4;0;0;0;32;220;53
3613;2024;116;4;13;12;40643;9;2;1;0;1;26;333;70
3633;2024;114;4;15;15;54326;10;4;1;1;1;37;402;67
3635;2024;109;4;18;17;61068;10;5;3;0;1;53;506;65
3663;2024;110;4;8;7;25875;3;3;1;0;0;24;241;68
3676;2024;118;4;6;6;21222;4;2;0;0;0;18;153;59
3676;2024;123;4;7;6;21905;4;1;1;0;2;13;169;70
3692;2024;118;4;12;11;40244;7;3;1;1;0;34;316;64
3712;2024;112;4;6;6;20258;1;5;0;0;0;24;129;43
3716;2024;119;4;5;4;17137;3;2;0;1;0;12;144;68
3737;2024;122;4;9;9;26568;3;5;1;0;0;38;289;57
3751;2024;106;4;14;12;46949;7;5;0;2;0;44;367;60
3754;2024;117;4;15;13;49343;5;6;2;1;0;46;477;67
3801;2024;120;4;15;15;52873;4;9;2;3;0;57;532;64
3857;2024;111;4;10;7;31215;6;1;1;0;1;24;234;66
3870;2024;121;4;15;12;42712;6;5;1;2;0;42;382;62
3882;2024;113;4;12;12;42195;7;3;2;0;0;35;332;66
3887;2024;115;4;10;9;32422;3;5;1;0;0;33;317;67
3898;2024;123;4;5;5;14078;3;2;0;0;0;15;104;52
3898;2024;118;4;3;3;10735;2;1;0;1;0;10;99;73
3901;2024;114;4;6;6;22353;4;1;1;0;0;19;161;65
3906;2024;108;4;4;3;10693;1;0;1;0;0;11;83;51
3906;2024;106;4;3;3;10937;3;0;0;0;0;9;97;75
3907;2024;115;4;12;11;40022;7;2;2;1;0;39;370;67
3909;2024;107;4;8;7;22511;4;4;0;0;0;27;229;61
3913;2024;117;4;8;7;22962;4;3;0;0;0;29;219;56
4750;2024;94;2;5;5;17932;2;3;0;0;1;16;150;65
4810;2024;106;4;4;4;11201;1;2;1;0;0;16;87;40
4873;2024;105;2;8;7;26175;5;2;0;1;0;24;225;59
4903;2024;120;4;7;6;23294;2;3;1;0;0;32;209;48
4930;2024;72;3;8;7;22731;2;4;1;0;0;21;184;59
4931;2024;70;3;14;12;44037;8;4;0;0;0;30;310;63
4962;2024;72;3;12;11;42560;5;5;1;0;1;37;323;60
5082;2024;79;3;6;6;18513;1;5;0;1;0;21;174;55
5140;2024;70;3;6;6;21143;2;2;2;0;0;25;153;43
5171;2024;75;3;3;3;10142;1;1;1;0;0;11;96;62
5200;2024;89;2;3;3;9338;2;1;0;0;0;14;102;52
5260;2024;100;2;9;9;26985;3;6;0;2;0;40;243;43
5261;2024;99;2;6;4;15716;1;4;0;0;0;26;145;47
5262;2024;91;2;1;1;3600;1;0;0;0;0;3;33;76
5322;2024;109;4;5;4;15392;2;1;0;0;0;16;140;60
