PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
3270;2024;93;2;5;5;15125;2;3;0;0;0;17;154;64
3272;2024;104;2;4;4;14484;1;2;1;1;0;15;128;66
3273;2024;95;2;3;3;9878;1;2;0;0;0;14;95;56
3299;2024;87;2;3;2;9973;2;0;0;0;0;9;89;72
3316;2024;95;2;5;4;15932;3;0;1;0;0;5;112;76
3323;2024;97;2;5;4;15092;0;3;1;0;0;22;159;56
3348;2024;84;3;4;4;14667;3;1;0;1;0;11;133;83
3360;2024;100;2;5;4;13086;3;1;0;0;0;10;111;70
3394;2024;93;2;3;2;10034;2;0;0;0;0;11;77;56
3410;2024;99;2;5;4;17428;2;2;0;1;0;20;165;67
3417;2024;89;2;3;3;10654;1;2;0;1;0;9;117;81
3429;2024;92;2;4;4;13523;4;0;0;0;1;10;96;69
3435;2024;102;2;3;3;11100;3;0;0;0;0;7;108;89
3440;2024;103;2;3;3;11080;2;0;1;0;1;6;75;77
3472;2024;98;2;4;4;14814;0;2;2;0;0;14;128;69
3512;2024;116;4;4;4;14241;0;4;0;1;0;16;132;65
3513;2024;108;4;4;4;14289;0;4;0;1;0;17;146;66
3514;2024;123;4;4;4;14400;3;1;0;0;0;13;120;68
3530;2024;107;4;3;3;10800;2;1;0;0;1;5;85;79
3537;2024;122;4;4;4;14319;2;2;0;0;0;15;157;78
3546;2024;121;4;4;3;11393;2;1;0;0;0;11;103;66
3548;2024;110;4;4;3;13289;1;2;0;0;0;8;129;85
3558;2024;119;4;5;5;18119;3;1;1;0;1;13;140;74
3580;2024;112;4;4;4;14519;3;1;0;0;0;12;139;77
3589;2024;111;4;4;4;14339;1;3;0;2;0;18;116;54
3596;2024;108;4;3;3;11031;1;2;0;1;0;11;76;55
3602;2024;113;4;5;4;15447;2;1;1;0;0;12;134;66
3613;2024;116;4;3;3;11045;1;1;1;0;0;11;108;70
3633;2024;114;4;5;5;15682;1;3;1;0;0;21;146;58
3635;2024;109;4;4;4;14457;3;0;1;0;0;15;162;82
3663;2024;110;4;4;4;11910;3;1;0;0;1;7;115;74
3676;2024;123;4;3;3;10800;2;1;0;0;0;11;106;73
3692;2024;118;4;4;4;14345;1;3;0;0;0;13;108;62
3711;2024;109;4;2;2;7200;2;0;0;0;0;4;68;89
3712;2024;112;4;3;3;10800;3;0;0;0;0;4;88;90
3716;2024;119;4;2;2;7164;1;1;0;0;0;8;77;75
3722;2024;120;4;3;3;8108;0;3;0;1;0;14;82;47
3737;2024;122;4;4;3;11238;3;0;0;0;0;9;117;78
3751;2024;106;4;4;4;14400;3;1;0;0;1;10;117;78
3754;2024;117;4;4;4;14378;1;3;0;0;0;14;135;72
3801;2024;120;4;6;4;17006;3;1;0;1;1;10;125;68
3857;2024;111;4;3;3;10764;2;1;0;0;0;6;105;90
3870;2024;121;4;5;4;13806;3;1;0;0;1;13;161;73
3882;2024;113;4;3;3;10352;1;2;0;0;0;13;91;57
3887;2024;115;4;4;4;14315;0;4;0;1;0;20;149;61
3898;2024;118;4;3;3;10800;3;0;0;0;1;2;70;88
3901;2024;114;4;4;2;9793;2;0;0;0;0;4;67;68
3906;2024;106;4;3;3;10796;0;3;0;0;0;11;92;64
3907;2024;115;4;3;3;10726;1;2;0;1;0;11;123;83
3909;2024;107;4;4;4;14652;2;1;1;1;0;12;110;66
3913;2024;117;4;3;3;10788;1;2;0;1;0;13;103;64
4750;2024;94;2;4;4;14797;3;1;0;1;0;10;115;75
4873;2024;105;2;3;3;9582;1;2;0;0;0;14;100;60
4930;2024;72;3;3;3;11042;1;1;1;0;0;10;95;71
4931;2024;70;3;4;4;13957;2;2;0;0;0;18;136;62
4962;2024;72;3;3;3;10761;2;1;0;0;0;8;68;63
5140;2024;70;3;4;3;11192;2;1;0;1;1;10;90;67
5171;2024;75;3;2;2;7122;1;1;0;0;0;6;62;72
5200;2024;89;2;4;4;14700;2;1;1;0;0;10;128;81
5260;2024;100;2;4;3;12690;1;1;1;0;0;19;126;55
5261;2024;99;2;3;3;7715;1;2;0;0;0;9;80;64
5262;2024;91;2;3;3;10757;2;1;0;0;0;9;94;75
5322;2024;109;4;1;1;3900;1;0;0;0;0;4;40;80
