League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2024-9-29;27;4;10;3;Pre-Season;1;0;0;6312
0;2024-9-29;15;6;0;4;Pre-Season;1;0;0;6310
0;2024-9-29;3;5;12;1;Pre-Season;1;0;0;6322
0;2024-9-29;1;8;8;0;Pre-Season;1;0;0;6314
0;2024-9-29;18;6;21;5;Pre-Season;1;0;0;6318
0;2024-9-29;25;3;22;5;Pre-Season;1;0;0;6320
0;2024-9-29;9;4;7;1;Pre-Season;1;0;0;6316
0;2024-10-4;6;6;22;3;Regular Season;1;0;0;5200
0;2024-10-4;27;3;16;1;Regular Season;1;0;0;5185
0;2024-10-4;0;6;11;3;Regular Season;1;0;0;5182
0;2024-10-4;20;7;10;1;Regular Season;1;0;0;5184
0;2024-10-4;17;5;31;2;Regular Season;1;0;0;5183
0;2024-10-4;12;4;3;5;Regular Season;1;0;0;5208
0;2024-10-4;29;4;7;6;Regular Season;1;0;0;5188
0;2024-10-4;15;2;19;3;Regular Season;1;1;1;5287
0;2024-10-4;26;4;4;3;Regular Season;1;0;0;5211
0;2024-10-4;25;5;21;4;Regular Season;1;1;0;5508
0;2024-10-4;1;6;8;2;Regular Season;1;0;0;5217
0;2024-10-5;7;7;9;0;Regular Season;1;0;0;5193
0;2024-10-5;16;1;3;5;Regular Season;1;0;0;5189
0;2024-10-5;25;3;26;0;Regular Season;1;0;0;5181
0;2024-10-5;27;4;31;3;Regular Season;1;1;1;5187
0;2024-10-5;11;4;10;2;Regular Season;1;0;0;5610
0;2024-10-5;12;4;20;3;Regular Season;1;0;0;5240
0;2024-10-5;18;0;0;3;Regular Season;1;0;0;5237
0;2024-10-5;4;3;22;4;Regular Season;1;0;0;5186
0;2024-10-5;1;7;21;3;Regular Season;1;0;0;5212
0;2024-10-5;19;6;17;3;Regular Season;1;0;0;5192
0;2024-10-6;29;2;15;4;Regular Season;1;0;0;5228
0;2024-10-6;18;6;6;1;Regular Season;1;0;0;5197
0;2024-10-6;9;1;8;0;Regular Season;1;0;0;5224
0;2024-10-7;4;5;21;0;Regular Season;1;0;0;5195
0;2024-10-7;12;4;29;2;Regular Season;1;0;0;5190
0;2024-10-7;19;5;25;3;Regular Season;1;0;0;6142
0;2024-10-7;20;9;11;1;Regular Season;1;0;0;5261
0;2024-10-7;1;4;17;1;Regular Season;1;0;0;6125
0;2024-10-7;16;7;22;1;Regular Season;1;0;0;6121
0;2024-10-7;27;5;0;2;Regular Season;1;0;0;5199
0;2024-10-7;26;5;3;3;Regular Season;1;0;0;5255
0;2024-10-7;10;2;31;5;Regular Season;1;0;0;5209
0;2024-10-8;9;5;18;4;Regular Season;1;1;1;5251
0;2024-10-8;17;9;7;1;Regular Season;1;0;0;5206
0;2024-10-8;20;6;19;1;Regular Season;1;0;0;5247
0;2024-10-8;6;7;31;2;Regular Season;1;0;0;5201
0;2024-10-8;1;3;16;0;Regular Season;1;0;0;5222
0;2024-10-8;25;8;12;0;Regular Season;1;0;0;5311
0;2024-10-8;15;2;26;4;Regular Season;1;0;0;5219
0;2024-10-8;10;3;0;5;Regular Season;1;0;0;5207
0;2024-10-8;3;4;8;2;Regular Season;1;0;0;5227
0;2024-10-9;15;1;8;3;Regular Season;1;0;0;5375
0;2024-10-9;29;5;6;4;Regular Season;1;0;0;5202
0;2024-10-10;19;4;9;1;Regular Season;1;0;0;5253
0;2024-10-10;20;5;12;1;Regular Season;1;0;0;6072
0;2024-10-10;27;1;17;2;Regular Season;1;1;0;5198
0;2024-10-10;16;5;31;2;Regular Season;1;0;0;5214
0;2024-10-10;7;4;26;1;Regular Season;1;0;0;5321
0;2024-10-10;1;4;18;3;Regular Season;1;0;0;5314
0;2024-10-10;21;8;22;3;Regular Season;1;0;0;5191
0;2024-10-10;3;5;25;2;Regular Season;1;0;0;5233
0;2024-10-10;11;5;4;2;Regular Season;1;0;0;5196
0;2024-10-11;9;3;7;2;Regular Season;1;0;0;5834
0;2024-10-11;11;4;1;1;Regular Season;1;0;0;5303
0;2024-10-11;0;5;22;6;Regular Season;1;1;0;5215
0;2024-10-11;19;2;29;3;Regular Season;1;0;0;5234
0;2024-10-11;25;8;20;2;Regular Season;1;0;0;5250
0;2024-10-11;8;6;12;0;Regular Season;1;0;0;5381
0;2024-10-11;16;4;15;3;Regular Season;1;1;0;5236
0;2024-10-11;10;4;18;3;Regular Season;1;0;0;5218
0;2024-10-12;8;4;15;3;Regular Season;1;0;0;6144
0;2024-10-12;4;3;27;4;Regular Season;1;0;0;5203
0;2024-10-12;21;7;0;4;Regular Season;1;0;0;6152
0;2024-10-12;6;6;17;4;Regular Season;1;0;0;5210
0;2024-10-13;7;4;3;5;Regular Season;1;1;0;6116
