PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
3546;121;121;4;3;189;2;1;0;103;92;11;3.48;0;.893;66
3548;110;110;4;3;221;1;2;0;129;121;8;2.17;0;.938;85
3558;119;119;5;5;301;3;1;1;140;127;13;2.58;1;.907;74
3580;112;112;4;4;241;3;1;0;139;127;12;2.98;0;.914;77
3589;111;111;4;4;238;1;3;0;116;98;18;4.52;0;.845;54
3596;108;108;3;3;183;1;2;0;76;65;11;3.59;0;.855;55
3602;113;113;5;4;257;2;1;1;134;122;12;2.80;0;.910;66
3613;116;116;3;3;184;1;1;1;108;97;11;3.59;0;.898;70
3633;114;114;5;5;261;1;3;1;146;125;21;4.82;0;.856;58
3635;109;109;4;4;240;3;0;1;162;147;15;3.74;0;.907;82
3663;110;110;4;4;198;3;1;0;115;108;7;2.12;1;.939;74
3676;118;118;3;3;180;2;1;0;106;95;11;3.67;0;.896;73
3692;118;118;4;4;239;1;3;0;108;95;13;3.26;0;.880;62
3711;111;111;2;2;120;2;0;0;68;64;4;2.00;0;.941;89
3712;112;112;3;3;180;3;0;0;88;84;4;1.33;0;.955;90
3716;119;119;2;2;119;1;1;0;77;69;8;4.02;0;.896;75
3722;114;114;3;3;135;0;3;0;82;68;14;6.22;0;.829;47
3737;122;122;4;3;187;3;0;0;117;108;9;2.88;0;.923;78
3751;106;106;4;4;240;3;1;0;117;107;10;2.50;1;.915;78
3754;117;117;4;4;239;1;3;0;135;121;14;3.51;0;.896;72
3801;120;120;6;4;283;3;1;0;125;115;10;2.12;1;.920;68
3857;111;111;3;3;179;2;1;0;105;99;6;2.01;0;.943;90
3870;121;121;5;4;230;3;1;0;161;148;13;3.39;1;.919;73
3882;113;113;3;3;172;1;2;0;91;78;13;4.52;0;.857;57
3887;115;115;4;4;238;0;4;0;149;129;20;5.03;0;.866;61
3898;123;123;3;3;180;3;0;0;70;68;2;0.67;1;.971;88
3901;114;114;4;2;163;2;0;0;67;63;4;1.47;0;.940;68
3906;108;108;3;3;179;0;3;0;92;81;11;3.67;0;.880;64
3907;115;115;3;3;178;1;2;0;123;112;11;3.69;0;.911;83
3909;107;107;4;4;244;2;1;1;110;98;12;2.95;0;.891;66
3913;117;117;3;3;179;1;2;0;103;90;13;4.34;0;.874;64
4750;94;94;4;4;246;3;1;0;115;105;10;2.43;0;.913;75
4873;105;105;3;3;159;1;2;0;100;86;14;5.26;0;.860;60
4930;72;72;3;3;184;1;1;1;95;85;10;3.26;0;.895;71
4931;70;70;4;4;232;2;2;0;136;118;18;4.64;0;.868;62
4962;72;72;3;3;179;2;1;0;68;60;8;2.68;0;.882;63
5140;70;70;4;3;186;2;1;0;90;80;10;3.22;1;.889;67
5171;75;75;2;2;118;1;1;0;62;56;6;3.03;0;.903;72
5200;89;89;4;4;245;2;1;1;128;118;10;2.45;0;.922;81
5260;100;100;4;3;211;1;1;1;126;107;19;5.39;0;.849;55
5261;99;99;3;3;128;1;2;0;80;71;9;4.20;0;.888;64
5262;91;91;3;3;179;2;1;0;94;85;9;3.01;0;.904;75
5322;109;109;1;1;65;1;0;0;40;36;4;3.69;0;.900;80
