PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
240;2024;17;0;7;1;5;6;1;0;0;0;0;58;0;20;0;0;9;2;7;4;7771;468;604;0;0
241;2024;26;0;5;1;1;17;-7;0;0;0;0;50;0;9;0;0;4;1;3;3;4921;62;705;1;1
243;2024;3;0;7;0;4;6;5;0;0;0;0;63;0;8;0;0;6;1;2;11;7359;283;627;0;0
244;2024;10;0;7;1;2;0;1;1;0;0;0;59;0;16;0;0;5;1;4;11;7407;67;780;0;0
248;2024;31;9999;5;3;8;0;-3;1;1;0;0;27;0;4;0;0;15;0;0;5;6411;157;134;0;0
248;2024;31;0;6;0;1;2;-4;0;0;0;0;64;0;20;0;0;8;5;6;11;7275;308;296;0;0
249;2024;1;9999;5;5;12;0;0;1;1;0;0;91;0;6;2;2;35;0;3;0;5658;468;72;0;0
249;2024;1;0;4;3;1;0;3;0;1;0;0;70;0;10;3;2;2;2;0;1;3645;221;44;0;0
250;2024;18;0;2;0;0;0;-1;0;0;0;0;59;0;2;6;3;1;0;0;0;975;169;0;0;0
250;2024;18;9999;5;3;5;6;0;1;2;0;0;71;0;3;15;6;13;0;3;3;2258;623;0;0;0
253;2024;0;0;4;2;1;2;-1;0;0;0;0;74;0;15;0;0;15;2;1;0;3568;141;102;0;0
254;2024;0;0;5;2;3;15;4;1;0;0;0;71;1;6;67;36;6;3;7;4;4043;75;801;1;0
255;2024;9;0;7;3;3;4;-1;2;1;0;0;71;0;9;2;2;12;8;2;0;6905;978;0;0;0
258;2024;27;0;7;2;1;18;-2;0;0;0;0;68;1;24;3;2;23;4;2;4;6403;775;377;2;1
260;2024;63;1;1;1;0;0;0;0;0;0;0;64;0;3;12;7;0;0;0;1;739;91;106;0;0
261;2024;27;0;3;0;0;0;0;0;0;0;0;61;0;4;0;0;2;4;1;4;2511;0;291;0;0
261;2024;27;9999;5;3;7;2;1;1;0;0;1;36;0;3;0;0;8;0;1;6;5030;28;198;0;0
271;2024;0;0;5;3;4;0;-4;0;4;0;0;73;1;12;3;2;10;2;3;1;4526;943;0;0;0
276;2024;34;1;1;0;0;2;-2;0;0;0;0;46;0;4;10;4;0;3;1;0;1007;40;72;0;0
277;2024;25;0;5;3;2;2;2;0;0;0;0;57;0;6;37;15;2;3;3;1;2592;136;236;0;0
278;2024;11;0;4;0;3;4;1;0;0;0;0;67;0;8;8;3;15;2;1;0;3441;0;302;0;0
280;2024;3;0;7;3;4;4;7;0;0;0;0;67;0;27;0;0;9;2;8;12;7963;702;196;0;0
281;2024;36;1;1;0;0;2;-1;0;0;0;0;67;0;1;0;0;5;0;0;3;1097;0;55;0;0
284;2024;22;0;7;0;2;0;-4;0;0;0;0;68;0;6;0;0;8;1;9;20;7326;83;1181;0;0
285;2024;15;0;7;3;7;2;2;2;1;0;0;77;1;14;17;11;16;6;6;1;6742;1293;50;0;0
286;2024;20;0;5;0;4;2;7;0;1;0;0;70;0;14;0;0;10;0;4;7;5640;600;316;0;0
287;2024;25;0;5;0;1;6;-3;0;0;0;0;57;0;4;0;0;4;1;3;7;5268;107;180;0;0
288;2024;3;0;7;3;4;2;9;0;0;0;0;64;0;4;54;29;1;2;3;0;4621;307;0;0;0
289;2024;9;0;7;3;3;2;-7;2;0;0;0;56;1;12;67;39;4;4;6;1;6684;928;66;0;0
290;2024;16;0;7;3;4;2;2;0;0;0;0;62;0;9;27;14;7;6;4;3;6430;241;807;0;0
291;2024;6;0;7;0;6;2;-6;0;2;0;0;65;0;37;0;0;11;1;4;8;8110;1061;278;0;0
294;2024;16;0;5;1;2;2;-2;1;0;0;0;59;0;7;1;0;9;3;0;3;3795;253;43;0;0
295;2024;25;0;5;2;2;2;-3;1;1;0;0;59;0;12;48;24;2;5;4;1;4193;254;217;0;0
297;2024;1;0;4;3;1;0;4;0;0;0;0;69;0;12;0;0;2;2;2;0;3497;106;0;0;0
301;2024;1;0;2;0;2;0;1;0;0;0;0;56;0;4;0;0;1;0;1;1;2128;0;216;0;0
302;2024;29;0;7;5;3;0;0;2;0;0;0;77;1;15;5;2;10;2;4;2;6651;1000;114;0;0
305;2024;17;0;7;3;3;4;-1;0;1;0;0;69;0;26;138;69;11;3;9;2;7002;1795;126;0;0
306;2024;0;0;5;1;3;2;-4;1;1;0;0;58;0;7;1;0;6;7;1;2;4805;371;81;0;0
307;2024;51;1;1;1;1;0;4;0;0;0;0;72;0;3;0;0;2;2;1;0;969;170;27;0;0
