Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
5198;2;211;433;19;305;17;ES;3
5198;3;679;1;342;1168;27;ES;3
5198;OT1;13;1050;988;;17;ES;2
5321;2;73;119;1453;1753;7;ES;4
5321;2;998;765;1404;1685;7;ES;2
5321;3;292;119;1400;1063;7;PP;3
5321;3;580;752;786;1280;26;PP;3
5321;3;1135;119;1413;1343;7;ES;4
5253;1;199;1224;381;150;19;ES;3
5253;1;506;1468;1073;443;19;ES;2
5253;2;1197;1468;1225;1192;19;ES;2
5253;3;84;691;676;758;9;ES;1
5253;3;1087;134;1182;940;19;PP;3
5214;1;568;294;832;1296;16;ES;2
5214;1;643;1232;139;0;16;ES;2
5214;1;683;867;71;1213;16;ES;2
5214;2;126;1246;248;742;31;ES;3
5214;2;1035;1346;248;742;31;ES;4
5214;3;1019;1583;883;1296;16;ES;3
5214;3;1136;566;290;;16;SH, ENG;1
6072;2;320;203;1262;;12;ES;4
6072;2;846;974;1075;957;20;ES;1
6072;2;876;827;901;286;20;ES;3
6072;3;1027;730;1852;1075;20;PP;3
6072;3;1165;845;1075;974;20;ES, ENG;2
6072;3;1196;974;;;20;ES;2
5236;1;36;1032;71;1213;16;ES;1
5236;2;142;285;648;419;15;ES;4
5236;2;394;848;1660;419;15;ES;3
5236;2;1039;883;;;16;ES;3
5236;3;331;1583;290;1032;16;ES;1
5236;3;384;285;836;871;15;ES;3
5236;OT1;153;832;953;855;16;ES;4
5381;1;547;503;531;145;8;ES;2
5381;2;168;503;531;1375;8;PP;2
5381;2;452;1375;503;531;8;ES;2
5381;2;592;145;761;1069;8;PP;2
5381;3;607;503;531;761;8;ES;2
5381;3;1161;874;948;1197;8;ES;2
5250;1;614;53;286;845;20;PP;3
5250;1;727;277;218;287;25;ES;2
5250;1;1003;826;617;802;25;ES;2
5250;1;1056;826;894;617;25;ES;2
5250;2;124;998;26;726;25;ES;3
5250;2;359;553;286;1075;20;PP;2
5250;2;428;717;1356;1076;25;ES;2
5250;2;913;277;218;919;25;ES;3
5250;3;997;802;1356;295;25;ES;2
5250;3;1157;717;1356;287;25;ES;3
5218;2;384;529;611;63;10;ES;2
5218;2;422;706;341;12;18;ES;2
5218;2;674;611;947;123;10;ES;3
5218;2;1141;689;627;907;10;ES;3
5218;3;141;366;1626;373;18;ES;2
5218;3;440;1170;688;;10;ES;2
5218;3;458;1355;685;594;18;ES;2
5215;1;181;1377;1498;254;0;ES;1
5215;1;686;857;427;;22;ES;2
5215;1;821;98;254;;0;ES;1
5215;2;904;427;857;996;22;ES;1
5215;2;994;109;317;1196;0;ES;2
5215;2;1094;777;38;223;22;ES;2
5215;3;136;427;284;38;22;ES;4
5215;3;963;1018;271;253;0;PP;3
5215;3;1075;1062;253;254;0;ES;1
5215;3;1168;857;938;34;22;ES;3
5215;OT1;147;996;857;223;22;ES;4
5834;1;580;85;10;255;9;PP;1
5834;1;702;23;1685;1054;7;ES;1
5834;1;842;226;1420;10;9;ES;2
5834;2;411;159;10;1562;9;ES;2
5834;3;71;875;1753;1482;7;ES;3
5234;1;917;705;445;156;29;PP;3
5234;2;587;964;302;705;29;PP;3
5234;2;688;1182;204;806;19;ES;2
5234;3;144;705;809;441;29;PP;3
5234;3;1073;15;150;50;19;SH;1
5303;2;904;654;1167;1047;11;ES;2
5303;3;216;873;440;884;1;ES;3
5303;3;502;1059;971;586;11;ES;2
5303;3;674;878;1059;1191;11;ES;2
5303;3;1196;1317;;;11;ES, ENG;1
5210;1;64;1078;928;438;6;ES;3
5210;1;127;1311;604;943;6;ES;3
5210;1;144;124;1255;792;17;ES;2
5210;1;216;19;236;;17;ES;4
5210;1;824;792;;;17;ES;3
5210;1;944;928;943;707;6;ES;2
5210;1;1064;597;707;666;6;ES;2
5210;2;138;438;1078;143;6;ES;2
5210;2;449;438;143;1078;6;SH;3
5210;2;817;1050;1042;988;17;ES;3
6152;1;109;921;1300;1233;21;ES;2
6152;1;164;1300;921;;21;ES;3
6152;2;745;493;798;1315;21;ES;1
6152;2;844;921;1300;1233;21;ES;3
6152;2;881;1377;1725;253;0;ES;3
6152;3;332;757;1029;798;21;ES;2
6152;3;702;1018;271;254;0;ES;3
6152;3;1036;1275;306;514;0;ES;3
6152;3;1143;798;1304;;21;ES, ENG;2
6152;3;1156;1275;306;271;0;ES;3
6152;3;1196;757;1237;1127;21;ES, ENG;2
6144;1;607;503;;;8;ES;4
6144;1;1180;285;910;949;15;PP;4
6144;2;76;1036;848;1513;15;PP;3
6144;2;195;1197;531;744;8;ES;2
6144;2;560;910;285;661;15;PP;1
6144;2;733;744;1197;145;8;ES;2
6144;3;538;1140;464;145;8;ES;2
5203;1;296;1326;258;605;27;PP;3
5203;1;426;987;358;541;4;ES;2
5203;1;660;605;562;1326;27;PP;3
5203;2;749;1326;840;562;27;PP;2
5203;3;25;881;1000;1092;4;ES;3
5203;3;279;5;70;1455;4;ES;1
5203;3;921;258;605;1326;27;PP;4
5194;1;259;318;1340;1029;21;ES;3
5194;2;23;223;777;870;22;PP;1
5194;2;35;1300;1233;1304;21;ES;3
5194;2;700;1300;446;1029;21;ES;3
5194;3;723;493;798;1315;21;ES;2
6116;1;1112;1063;119;875;7;ES;2
6116;2;351;1174;651;;3;PP;3
6116;2;388;119;1343;1413;7;ES;4
6116;2;647;810;1566;1009;3;ES;2
6116;2;808;875;1063;23;7;PP;2
6116;2;1157;1404;1413;23;7;ES;2
6116;3;159;651;693;280;3;PP;3
6116;3;1127;872;1566;693;3;ES;1
6116;OT1;31;693;1174;280;3;ES;3
5275;1;48;928;291;143;6;PP;3
5275;1;692;25;1024;941;6;ES;3
5275;2;179;1078;291;928;6;ES;3
5275;2;213;25;1024;1141;6;ES;2
5275;2;760;1078;1141;;6;ES;4
5275;3;853;666;707;143;6;ES;2
5275;3;981;816;811;3;29;ES;3
5256;1;35;217;225;786;26;ES;2
5256;1;245;134;1468;940;19;ES;3
5256;1;346;1049;;;26;ES;3
5256;1;450;225;752;786;26;PP;3
5256;1;1021;752;786;140;26;ES;3
5256;2;157;806;850;;19;ES;2
5256;2;1022;241;752;;26;ES;1
5256;2;1165;225;822;221;26;ES;4
5256;3;179;134;144;940;19;PP;1
5256;3;291;381;1224;940;19;ES;4
5256;3;608;786;;;26;ES;4
5256;3;633;1587;54;1049;26;ES;2
5256;3;798;1227;850;134;19;ES;3
5256;3;1100;443;850;1182;19;ES;1
5239;1;1099;254;1377;1498;0;ES;4
5239;2;131;415;1498;1018;0;PP;3
5239;2;926;971;914;163;11;ES;1
5239;2;976;253;306;98;0;ES;4
5239;2;1181;971;1059;586;11;ES;3
5239;3;118;1059;878;115;11;PP;3
5213;1;918;289;676;255;9;ES;2
5213;1;927;758;369;159;9;ES;4
5213;2;594;758;255;676;9;PP;2
5213;2;1178;5;70;1455;4;ES;2
5213;3;37;946;1175;1283;4;ES;3
5213;3;1200;758;676;787;9;ES, ENG;1
5220;1;245;1309;345;203;12;ES;1
5220;2;288;788;342;1168;27;ES;3
5220;2;748;1046;234;1262;12;ES;3
5220;2;954;342;1154;886;27;ES;4
5220;2;1073;258;1128;1;27;ES;4
5220;3;96;886;96;342;27;ES;4
5220;3;677;1003;1136;1312;27;ES;3
5231;1;591;721;1385;871;15;SH;2
5231;3;481;777;;;22;ES;4
5231;OT1;187;996;857;41;22;ES;3
5221;1;188;864;159;1420;9;ES;3
5221;1;645;627;123;;10;ES;4
5221;1;881;289;85;1420;9;ES;2
5221;2;695;573;85;864;9;ES;2
5221;3;939;255;573;1365;9;ES;2
5204;1;211;1003;258;1128;27;SH;2
5204;1;500;562;605;258;27;ES;2
5204;2;364;403;290;;16;ES;1
5232;1;434;1233;921;1300;21;ES;3
5232;3;714;693;872;243;3;ES;4
5232;3;1050;1340;;;21;ES;3
5263;1;13;1852;1075;286;20;ES;3
5263;1;1190;957;974;414;20;SH;3
5263;2;246;414;957;;20;SH;2
5263;2;462;553;215;1303;20;ES;1
5263;3;413;1075;1852;957;20;ES;2
5263;3;640;115;1317;654;11;ES;1
5263;3;946;53;845;974;20;ES;3
5263;3;1092;957;974;286;20;ES;4
5296;1;54;826;894;617;25;ES;2
5296;1;240;144;1227;204;19;ES;3
5296;1;533;826;617;1308;25;ES;3
5296;1;980;806;144;443;19;ES;2
5296;2;138;204;144;1227;19;ES;4
5296;2;552;150;1224;381;19;ES;2
5296;2;803;1356;;;25;ES;4
5296;3;798;726;26;998;25;ES;1
5296;3;905;134;;;19;PP;2
5365;1;230;216;341;12;18;ES;2
5365;1;738;216;341;1025;18;ES;4
5365;2;593;1140;464;761;8;ES;3
5365;2;653;613;448;1355;18;ES;2
5365;3;255;794;1568;503;8;ES;3
5365;3;675;613;594;27;18;ES;1
5365;3;1128;56;27;613;18;ES;4
5344;1;1046;752;920;822;26;ES;1
5344;2;12;54;1049;140;26;ES;2
5344;2;19;1377;1275;1725;0;ES;4
5344;2;121;1171;1018;254;0;ES;4
5344;2;344;687;915;217;26;ES;4
5344;2;683;1280;225;752;26;PP;2
5344;2;976;54;1112;822;26;ES;4
5344;3;1074;254;1171;1883;0;ES;3
5344;3;1199;1112;214;241;26;ES, ENG;1
5358;1;238;1255;792;147;17;ES;3
5358;1;678;871;1036;721;15;ES;1
5358;2;17;433;147;1255;17;PP;2
5358;2;598;305;1042;19;17;ES;2
5358;2;981;1660;949;1588;15;ES;3
5358;3;238;1042;19;305;17;PP;3
5358;3;592;661;1513;910;15;PP;3
5358;3;628;1179;1042;19;17;ES;1
5358;3;735;910;285;661;15;PP;2
5358;3;1197;208;240;1050;17;ES, ENG;1
5205;1;180;727;1093;985;4;PP;1
5205;1;254;987;358;1175;4;PP;1
5205;1;1151;881;5;727;4;ES;2
5205;2;563;358;1108;985;4;ES;2
5205;2;937;985;1455;1283;4;ES;3
5205;3;80;1019;61;;1;ES;4
5205;3;200;656;1283;881;4;ES;1
5205;3;885;70;1455;1108;4;ES;4
6126;1;281;765;23;1404;7;ES;2
6126;1;441;1315;921;493;21;PP;1
6126;1;605;1315;1095;493;21;ES;3
6126;2;56;1063;1054;23;7;ES;3
6126;2;96;1343;1413;1400;7;ES;2
6126;2;402;1233;1300;;21;ES;3
6126;2;893;1063;1054;875;7;ES;2
6126;2;1128;1860;1482;1343;7;ES;2
6126;3;16;1304;757;446;21;ES;2
5238;1;107;1046;89;170;12;ES;3
5238;3;141;233;1262;152;12;ES;3
5238;3;983;964;445;705;29;PP;1
5238;3;1192;816;302;156;29;ES;1
5238;OT1;44;397;2;156;29;ES;1
5216;1;167;141;;;4;PP;2
5216;1;514;1448;57;;31;ES;4
5216;1;1103;742;1246;540;31;PP;3
