PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
125;2024;10;0;19;0;2;2;-18;0;0;0;0;58;0;33;152;75;7;10;10;3;14183;3035;77;0;0
126;2024;51;1;18;1;4;22;-9;0;0;0;0;62;0;37;0;0;18;4;11;28;19279;1904;1148;0;0
133;2024;61;1;8;0;2;2;5;0;0;0;0;60;0;4;0;0;1;1;1;19;7523;11;1283;0;0
134;2024;19;0;20;10;6;2;1;5;2;0;0;70;2;58;0;0;20;7;12;4;16632;2963;0;0;0
135;2024;27;0;19;3;7;4;9;0;0;0;0;66;2;30;6;3;26;19;15;11;14805;755;3446;0;0
139;2024;16;0;22;7;6;4;5;1;0;0;0;60;0;31;193;97;33;13;17;11;19597;1033;2371;0;0
140;2024;26;0;21;1;9;8;-8;0;0;0;0;55;0;37;0;0;26;5;12;12;21801;346;1139;0;0
141;2024;4;0;21;3;7;10;-3;1;0;0;0;61;0;52;0;0;38;5;17;15;23331;1504;886;0;0
143;2024;6;0;19;3;15;6;5;1;4;0;1;73;0;65;0;0;19;5;19;21;23293;2820;954;0;0
144;2024;19;0;20;7;8;16;7;3;3;0;0;69;1;42;16;5;39;20;23;15;16788;3236;2652;0;0
145;2024;8;0;20;1;11;10;-4;1;0;0;0;59;0;36;0;0;37;8;20;19;21424;657;1342;0;0
147;2024;17;0;21;8;13;2;12;0;2;0;0;69;0;34;201;105;24;10;15;5;20482;1152;510;0;0
150;2024;19;0;20;8;4;2;1;0;0;0;2;56;0;27;24;8;17;6;1;5;12888;0;1171;0;0
151;2024;12;0;23;0;6;12;7;0;0;0;0;66;0;26;0;0;29;6;19;47;22878;271;1055;0;0
152;2024;12;0;23;8;11;14;-15;4;4;0;1;67;2;43;242;134;31;9;20;8;20209;4216;575;0;0
156;2024;29;0;18;6;9;22;-8;3;3;0;0;66;1;35;261;131;23;8;9;11;16780;3650;108;0;0
158;2024;62;1;3;0;0;0;1;0;0;0;0;62;0;5;0;0;6;2;0;3;3033;77;582;0;0
159;2024;9;0;22;8;10;8;10;1;0;0;0;78;1;69;0;0;28;8;8;4;20924;1231;0;0;0
161;2024;62;1;5;1;0;0;-1;0;0;0;0;56;0;3;17;5;4;0;0;3;2225;400;135;0;0
163;2024;11;0;20;2;8;8;0;0;0;0;0;59;1;10;155;85;22;17;7;11;12343;21;2854;0;0
164;2024;59;1;12;1;5;4;3;0;3;0;0;60;0;16;1;1;13;6;3;9;9500;718;407;0;0
165;2024;37;1;6;1;1;0;1;0;0;0;0;66;0;7;0;0;9;3;4;18;5364;149;1432;0;0
170;2024;12;0;23;0;4;10;-15;0;0;0;0;56;0;18;0;0;16;7;16;33;21534;159;1207;0;0
174;2024;20;0;21;1;3;6;-3;0;0;0;0;67;0;33;0;0;30;10;13;56;22426;110;2737;0;0
175;2024;57;1;1;0;0;0;-1;0;0;0;0;56;0;3;0;0;0;1;1;0;936;206;96;0;0
176;2024;38;1;15;2;7;10;0;1;0;0;1;67;0;38;0;0;17;4;7;23;15666;406;2432;0;0
178;2024;47;1;12;1;1;2;-5;0;1;0;0;57;0;6;39;22;4;5;3;4;5488;1298;349;0;0
181;2024;62;1;12;1;2;6;5;0;0;0;0;57;0;17;120;67;8;2;2;5;7892;80;780;0;0
183;2024;27;0;19;0;9;14;9;0;1;0;0;62;0;38;0;0;30;4;8;24;19991;408;1245;0;0
197;2024;51;1;2;0;0;0;-2;0;0;0;0;56;0;1;10;4;3;1;0;0;1237;0;11;0;0
198;2024;55;1;8;2;2;8;3;1;0;0;1;65;0;17;0;0;8;4;11;13;7293;2196;690;0;0
203;2024;12;0;23;3;2;14;-8;0;0;0;1;59;0;17;20;9;31;10;7;15;17909;517;693;0;0
204;2024;19;0;20;5;10;4;5;0;0;0;0;69;0;49;21;10;24;15;11;6;17770;275;459;0;0
205;2024;62;1;15;13;6;16;8;4;2;0;0;79;4;58;21;11;29;5;8;13;14677;3875;361;0;0
208;2024;17;0;21;1;5;2;4;0;0;0;0;63;0;21;61;25;20;9;8;15;10073;64;3339;0;0
214;2024;26;0;21;3;6;11;11;0;0;0;0;65;0;33;0;0;37;4;13;38;20740;104;732;0;0
215;2024;20;0;21;3;5;6;2;0;0;0;1;56;1;16;129;62;11;5;12;3;9974;220;1296;0;0
216;2024;18;0;21;10;5;6;8;3;0;0;0;63;0;33;276;116;14;7;16;2;18217;2387;0;0;0
217;2024;26;0;21;1;11;2;0;0;0;0;0;65;0;43;0;0;43;6;19;24;23374;777;3081;0;0
218;2024;25;0;21;3;5;4;0;0;0;0;1;55;0;18;10;4;14;9;7;5;10459;0;1133;0;0
221;2024;26;0;21;7;5;18;5;0;0;1;0;65;1;23;65;30;43;12;18;6;15055;13;2556;0;0
223;2024;22;0;22;4;10;6;-1;2;1;0;0;61;0;68;0;0;37;7;22;16;25922;1388;995;0;0
225;2024;26;0;21;4;14;8;-3;2;6;0;1;69;0;35;306;167;31;20;21;13;18667;3944;3107;0;0
226;2024;9;0;22;4;6;0;4;0;0;0;0;63;0;15;73;49;20;15;10;13;13443;26;2972;0;0
228;2024;60;1;14;2;9;2;14;0;0;0;1;71;1;33;0;0;11;3;6;20;14838;391;2670;0;0
233;2024;12;0;23;10;11;12;-3;3;3;1;0;68;1;43;300;168;31;17;17;4;21923;3839;608;0;0
234;2024;12;0;23;3;9;8;-3;0;0;0;0;63;1;24;17;7;27;12;11;16;19101;1076;167;0;0
236;2024;17;0;21;0;7;10;14;0;0;0;0;63;0;26;0;0;16;2;19;35;19461;134;2796;0;0
240;2024;17;0;21;3;9;14;18;0;0;0;0;64;1;49;0;0;30;3;15;27;22280;446;3107;0;0
241;2024;26;0;21;2;5;6;4;0;0;1;0;61;0;22;0;0;20;6;12;24;20388;79;3052;0;0
243;2024;3;0;21;0;6;2;-9;0;0;0;0;55;0;22;1;0;22;4;10;21;20514;85;1134;0;0
244;2024;10;0;19;0;7;10;-2;0;1;0;1;61;0;28;0;0;16;13;15;31;19951;180;2845;0;0
247;2024;38;1;18;5;11;10;-8;2;6;0;0;65;0;45;316;161;21;5;6;12;14467;5001;20;0;0
248;2024;31;0;19;1;7;8;-2;0;0;0;1;56;0;43;0;0;21;2;14;23;23089;748;510;0;0
249;2024;1;0;21;9;16;6;27;0;2;0;0;80;1;67;6;2;28;8;14;5;20821;2912;0;0;0
250;2024;60;1;5;1;1;4;1;0;0;0;0;56;0;8;6;5;2;0;1;0;2198;264;16;0;0
253;2024;0;0;19;9;12;4;2;4;2;0;0;70;1;54;7;4;22;15;8;2;14934;2640;0;0;0
254;2024;0;0;19;8;11;10;4;0;0;0;0;63;3;28;235;139;13;14;11;7;18429;1505;895;0;0
255;2024;9;0;22;8;5;0;-9;1;2;0;0;73;1;52;44;25;38;15;12;6;20321;3959;120;0;0
258;2024;27;0;19;6;17;13;-5;2;10;0;1;68;2;35;19;8;52;10;7;7;17963;3337;1050;1;1
260;2024;63;1;19;0;6;4;-3;0;0;0;1;56;0;12;128;52;12;5;3;14;9755;689;596;0;0
261;2024;39;1;16;3;2;2;9;0;0;0;1;63;2;33;0;0;14;7;4;27;15523;338;3421;0;0
269;2024;53;1;11;0;8;8;5;0;1;0;0;84;0;32;0;0;27;4;6;19;11889;2985;1951;0;0
271;2024;0;0;19;2;11;20;-7;1;5;0;0;69;0;28;4;2;29;11;13;3;13833;3263;0;0;0
276;2024;34;1;20;3;4;2;-5;0;1;0;0;66;1;49;251;129;29;10;9;8;17250;203;2779;0;0
277;2024;25;0;21;3;1;4;-5;0;0;0;0;56;0;10;121;57;10;9;8;1;11208;27;87;0;0
278;2024;11;0;20;8;1;6;-2;0;0;0;0;57;0;33;72;33;33;22;8;8;11892;21;3037;0;0
280;2024;3;0;21;3;13;16;5;1;3;0;0;67;1;70;0;0;26;2;26;26;24051;4700;611;0;0
281;2024;36;1;20;2;3;31;1;0;0;0;0;60;0;29;0;0;30;4;10;33;21277;708;2881;3;1
284;2024;22;0;22;4;10;8;-4;0;0;1;0;63;0;38;0;0;28;3;25;42;23472;156;2857;0;0
285;2024;15;0;22;10;10;18;1;2;4;0;0;71;1;59;23;12;32;14;14;7;20066;3975;95;0;0
286;2024;20;0;21;4;14;10;8;0;4;0;0;75;2;66;0;0;26;2;27;17;25730;3830;115;0;0
287;2024;25;0;21;1;9;16;2;0;0;0;0;62;0;42;0;0;29;9;21;25;21914;197;2676;0;0
288;2024;3;0;21;1;3;0;-7;0;0;0;0;54;0;8;154;83;18;8;5;2;11410;240;929;0;0
289;2024;9;0;22;8;9;6;7;1;1;0;0;67;1;27;232;135;23;10;10;5;21563;1209;471;0;0
290;2024;16;0;22;5;11;6;4;0;3;0;2;69;2;47;76;38;30;14;14;6;18439;4040;2290;0;0
291;2024;6;0;19;0;12;2;5;0;5;0;0;71;0;60;0;0;22;3;14;21;22093;2803;1026;0;0
294;2024;16;0;22;6;8;8;0;0;0;0;0;59;2;36;6;4;30;7;6;2;11847;0;267;0;0
295;2024;25;0;21;6;8;8;9;0;0;1;0;65;1;35;204;99;32;18;17;12;19226;265;3177;0;0
297;2024;1;0;21;11;14;2;28;1;0;0;0;77;2;72;0;0;43;14;11;2;19808;625;0;0;0
299;2024;6;0;19;3;6;2;-1;0;0;0;0;51;0;17;4;3;10;11;4;0;10635;16;314;0;0
301;2024;1;0;21;2;6;2;8;0;0;0;0;58;1;28;0;0;19;2;8;24;17198;161;763;0;0
302;2024;29;0;18;6;7;18;-7;1;4;0;0;73;0;50;1;1;38;9;9;6;15852;3541;154;0;0
305;2024;17;0;21;9;15;6;13;2;3;0;0;74;3;49;78;32;34;12;16;5;18790;5011;39;0;0
306;2024;0;0;19;5;5;10;-4;0;0;0;0;63;0;42;3;0;32;9;10;6;15301;297;51;0;0
307;2024;51;1;15;0;3;8;-7;0;1;0;0;59;0;18;6;3;13;4;2;5;9613;796;544;0;0
311;2024;45;1;6;0;2;2;-1;0;0;0;0;58;0;8;0;0;4;1;0;9;5397;201;739;0;0
312;2024;50;1;13;2;3;4;3;0;0;0;0;65;0;16;154;78;13;5;4;7;11503;0;2047;0;0
314;2024;22;0;22;2;3;6;-1;0;0;0;0;55;0;14;59;22;6;4;7;7;10906;10;2550;0;0
316;2024;39;1;4;1;1;6;-1;0;0;0;1;55;0;4;33;15;3;2;1;2;3421;82;330;0;0
317;2024;0;0;19;0;5;2;-2;0;0;0;0;57;0;18;4;3;15;5;5;6;9984;75;198;0;0
318;2024;21;0;20;3;2;2;-1;0;0;0;0;59;1;11;103;54;7;6;7;5;10117;0;55;0;0
320;2024;34;1;16;3;5;8;3;1;2;0;0;70;0;54;0;0;23;8;6;23;15635;4600;1020;0;0
324;2024;45;1;18;0;2;4;-8;0;0;0;0;58;0;21;173;82;11;5;6;7;11524;1370;66;0;0
329;2024;59;1;7;1;2;2;0;0;0;0;0;53;0;7;20;10;9;0;0;2;2712;60;625;0;0
333;2024;35;1;20;2;4;24;3;0;0;0;0;59;1;38;15;9;6;11;4;5;12738;998;322;0;0
338;2024;17;0;21;2;11;14;10;1;0;0;0;66;0;58;0;0;16;4;22;20;23353;4844;916;0;0
341;2024;18;0;21;7;12;4;11;1;6;0;0;68;1;26;2;0;25;12;9;7;11726;3179;0;0;0
342;2024;27;0;19;3;8;6;7;0;0;0;0;65;0;26;11;4;41;16;11;5;18200;29;317;0;0
345;2024;12;0;23;5;5;4;-9;0;0;0;1;60;1;41;8;2;24;12;7;8;20400;81;542;0;0
346;2024;12;0;23;2;3;8;5;0;0;1;0;59;0;23;0;0;15;7;11;23;23420;461;1699;0;0
348;2024;37;1;16;2;4;11;2;0;0;1;0;59;0;34;3;2;40;12;4;5;13735;0;917;1;0
349;2024;37;1;14;2;1;4;-1;0;0;0;0;61;0;43;1;0;14;7;4;21;14915;1443;1084;0;0
355;2024;11;0;20;1;6;4;0;0;0;0;0;58;0;21;0;0;17;5;12;20;17849;93;3084;0;0
357;2024;12;0;23;2;3;0;0;1;1;0;0;60;0;22;56;21;24;9;13;6;12877;2024;494;0;0
358;2024;4;0;21;8;10;10;-4;2;3;0;0;71;0;57;4;2;37;13;9;8;17701;3839;81;0;0
359;2024;43;1;1;0;0;2;0;0;0;0;0;64;0;1;0;0;0;0;1;2;1005;85;47;0;0
360;2024;33;1;13;0;4;14;1;0;0;0;0;69;0;17;0;0;23;7;7;16;12928;127;3087;2;0
361;2024;51;1;10;1;2;0;-2;1;0;0;0;57;0;13;94;44;6;4;4;2;5998;1067;0;0;0
363;2024;52;1;6;0;0;6;3;0;0;0;0;65;0;9;0;0;6;2;3;13;5343;14;702;0;0
364;2024;1;0;21;2;2;10;-1;0;1;0;0;57;0;22;63;29;26;4;6;3;10308;735;1078;0;0
365;2024;44;1;8;0;2;18;6;0;0;0;0;65;0;9;0;0;10;0;2;21;7491;29;1267;0;0
366;2024;18;0;21;6;4;8;4;0;0;0;0;57;2;36;4;2;22;13;2;2;13806;21;27;0;0
369;2024;9;0;22;1;6;4;-8;0;0;0;0;62;0;42;0;0;15;3;19;43;22798;104;2994;0;0
371;2024;9;0;22;2;2;0;-3;0;0;0;0;58;1;15;31;18;19;8;9;6;10619;8;1538;0;0
373;2024;18;0;21;9;15;10;8;0;0;0;0;65;0;48;23;12;39;18;12;6;20446;676;157;0;0
374;2024;55;1;4;2;3;0;3;0;0;0;2;75;0;9;7;5;6;4;3;1;4169;203;236;0;0
375;2024;10;0;19;1;4;6;-11;0;0;0;0;60;1;23;0;0;27;5;12;22;18406;852;531;0;0
377;2024;55;1;16;3;12;20;4;0;3;0;0;71;0;41;0;0;24;1;13;38;17215;2533;2478;0;0
379;2024;22;0;22;4;4;6;-11;0;0;1;0;57;0;18;219;99;23;23;17;12;18986;84;2628;0;0
380;2024;40;1;18;1;3;4;1;0;0;0;0;60;0;21;23;13;17;5;5;9;11293;0;1179;0;0
381;2024;19;0;20;2;8;6;3;0;0;0;0;59;1;23;0;0;25;14;10;2;12748;20;0;0;0
391;2024;39;1;3;0;1;0;0;0;0;0;0;63;0;7;0;0;4;0;3;2;2861;204;200;0;0
392;2024;48;1;20;0;3;4;-6;0;1;0;0;58;0;21;67;32;24;9;7;6;10879;160;1507;0;0
393;2024;50;1;11;2;3;14;1;0;0;0;0;61;1;18;0;0;8;1;7;14;11241;1251;767;0;0
394;2024;40;1;18;3;2;8;5;0;0;1;1;64;0;36;27;13;32;11;3;8;12729;17;2427;0;0
397;2024;29;0;18;1;3;10;-8;0;0;0;0;58;1;35;0;0;22;4;6;18;15601;17;1104;0;0
398;2024;49;1;2;1;1;2;-4;1;1;0;0;56;0;8;0;0;0;0;2;2;2114;423;175;0;0
398;2024;44;1;8;0;2;0;-4;0;0;0;0;55;0;12;0;0;10;5;4;5;7302;81;800;0;0
400;2024;34;1;20;4;6;46;-7;0;1;1;0;61;1;38;32;15;57;20;9;7;17601;1059;1718;1;1
402;2024;46;1;18;2;11;32;11;1;2;0;0;67;0;49;0;0;39;9;11;35;19230;3064;1689;2;0
403;2024;16;0;22;2;2;17;5;0;0;0;0;60;0;38;0;0;20;3;11;40;19077;74;1592;1;1
407;2024;57;1;5;0;1;4;-2;0;0;0;0;66;0;11;0;0;9;3;2;5;4426;1675;214;0;0
413;2024;3;0;21;1;5;6;-3;0;1;0;0;61;0;27;155;86;18;20;18;4;14471;667;1962;0;0
414;2024;20;0;21;2;10;2;4;0;0;1;1;63;0;26;0;0;34;2;12;11;21646;66;1416;0;0
415;2024;0;0;19;3;9;12;1;2;5;0;0;66;0;24;268;117;19;15;14;7;16116;2157;2793;0;0
416;2024;49;1;19;2;8;35;2;0;1;0;0;66;0;35;16;6;39;8;10;8;15720;495;123;1;1
419;2024;15;0;22;3;10;14;-5;0;2;0;0;63;0;54;0;0;28;8;33;23;24789;916;1255;0;0
